VARIABLE NAME,LABEL,RELATED PUF CONSTRUCT,SUGGESTED CONSTRUCT,CHIS 2023,CHIS 2021-2022,CHIS 2022,CHIS 2021,CHIS 2019-2020,CHIS 2020,CHIS 2019,CHIS 2017-2018,CHIS 2018,CHIS 2017,CHIS 2015-2016,CHIS 2016,CHIS 2015,CHIS 2013-2014,CHIS 2014,CHIS 2013,CHIS 2011-2012,CHIS 2012,CHIS 2011,CHIS 2009,CHIS 2007,CHIS 2005,CHIS 2003,CHIS 2001,NOTES,
ELIGHCR,HCR 2014 ELIGIBLE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,,
AI96,"BUY BRONZE,SILVER,GOLD,PLATINUM TEEN PLAN",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
MA7_14,NAME OF HEALTH PLAN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CATEGORY CHANGE,
INSHF,COVERED BY HEALTHY FAMILIES,,INSTYPE; INS9TP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,SEE F_INS_HF FOR IMPUTATION FLAG,
INSHK,COVERED BY HEALTHY KIDS,,INSTYPE; INS9TP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,,
MA7_13,NAME OF HEALTH PLAN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CATEGORY CHANGE,
INSMRKT,VARIOUS INS STATUS FOR PRIVATE MARKET (INCLUDE EXCHANGE ELIGIBLES),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,,
USC,USUAL SOUCE OF CARE - 3 LEVELS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,,
DLY_CAREN,DELAY IN CARE DUE TO COST OR LACK OF INSURANCE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,,
DLY_RXN,DELAY IN PRESCRIPTION DUE TO COST OR LACK OF INSURANCE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,,
ELIGPP09,ELIGIBILITY PROGRAM 2009 INCLUDING LOCAL CHILD COVERAGE EXPANSION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,,
ENR_TRIBE,ENROLLED MEMBER IN RECOGNIZED TRIBE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,,
ERVST_N,ER VISIT IN LAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,,
FM_ACCESS,ACCESS TO JOB BASED COVERAGE AT THE FAMILY LEVEL (YES/NO),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,,
NM_DRVS,NUMBER OF DOCTOR VISITS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,,
FM_MCHF4,PARENT'S INSURANCE STATUS FOR MEDI-CAL/HF - 4 LEVELS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,,
TI19,WAS PRESCRIPTION FOR ASTHMA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
TI20,WAS MEDICAL CARE FOR ASTHMA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
TH51,HOW OFTEN ABLE TO GET DR APPNT IN 2 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,,
TG1,# TIMES RECEIVED THREATS FROM PEER IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,,,
TG3,# TIMES IN PHYS FIGHT WITH PEERS IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,,,
TL7,RECEIVED MEDICAL CARE DUE TO INJURIES,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,
TH28,"SEXUALLY ATTRACTED TO BOYS,GIRLS,BOTH",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TE34,PARTNER/SELF USED PROTECTION/BIRTH CONTROL FIRST TIME HAD SEX,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_1,FIRST PROTECTION METHOD: CONDOM / RUBBER,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_2,FIRST PROTECTION METHOD: LUNELLE / DEPO PROVERA OR THE SHOT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_3,FIRST PROTECTION METHOD: NORPLANT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_4,FIRST PROTECTION METHOD: THE PILL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_5,FIRST PROTECTION METHOD: RHYTHM METHOD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_6,FIRST PROTECTION METHOD: SUPPOSITORY OR AN INSERT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_7,FIRST PROTECTION METHOD: WITHDRAWAL OR PULLING OUT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_8,FIRST PROTECTION METHOD: THE PATCH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_9,FIRST PROTECTION METHOD: SOME OTHER METHOD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TE35_A,FIRST PROTECTION METHOD: 1ST RESPONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_B,FIRST PROTECTION METHOD: 2ND RESPONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_C,FIRST PROTECTION METHOD: 3RD RESPONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_D,FIRST PROTECTION METHOD: 4TH RESPONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_E,FIRST PROTECTION METHOD: 5TH RESPONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_F,FIRST PROTECTION METHOD: 6TH RESPONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_G,FIRST PROTECTION METHOD: 7TH RESPONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE35_H,FIRST PROTECTION METHOD: 8TH RESPONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TE38_H,LAST PROTECTION METHOD: 8TH RESPONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
CONDOM,CONDOM USE WITHOUT HORMONAL METHOD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
CONHORM,CONDOM USE WITH HORMONAL METHOD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TH33,EVER HEARD OF CHLAMYDIA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TE45,HEARD OF RU486,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TE46,HEARD OF EMERGENCY CONTRACEPTION PILL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TE47,CAN GET EMERGENCY CONTRACEPTION PILL AT PHARMACY W/O RX,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TH6D,HOW MUCH PARENT/GUARDIAN KNOW ABOUT USE OF ALCOHOL (EVEN IF DON'T DRINK),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TH6E,HOW MUCH PARENT/GUARDIAN KNOW ABOUT USE OF TOBACCO (EVEN IF DON'T SMOKE),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TH6F,HOW MUCH PARENT/GUARDIAN KNOW ABOUT SEXUAL ACTIVITY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TH7,HOW MUCH YOU FEEL PARENTS CARE ABOUT YOU,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SECTION I,DENTAL OR ORAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF14,HOW LONG SINCE LAST VISIT TO DENTIST,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,N/A,,,QX VARNAME = TF14B. USED DATA FROM MTF14B COLLECTED IN ADULT QUESTIONNAIRE FOR MISSING RESPONSES TO TF14.;  ; RECLAIMED FROM CHIS 2014; 2001 TF14 MAY NOT BE TRENDABLE DUE TO QUESTION DIFFERENCE,
TH64,# TIMES TEEN REC'D DENTAL SERVICE IN PAST 12 MOS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH64,
TH65B_1,WHERE TEEN REC'D DENTAL SERVICE IN PAST 12 MOS: FREE HEALTH/DENTAL EVENT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH65B,
TH65B_2,WHERE TEEN REC'D DENTAL SERVICE IN PAST 12 MOS: DENTIST OFFICE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH65B,
TH65B_3,WHERE TEEN REC'D DENTAL SERVICE IN PAST 12 MOS: HOSPITAL,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH65B,
TH65B_4,WHERE TEEN REC'D DENTAL SERVICE IN PAST 12 MOS: OTHER LOCATION,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH65B,
TH66B_1,WHERE REC'D ORAL HEALTH EDUCATIONAL INFO IN PAST 12 MOS: HAVE NOT REC'D ANY INFO,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH66B,
TH66B_2,WHERE REC'D ORAL HEALTH EDUCATIONAL INFO IN PAST 12 MOS: DENTAL OFFICE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH66B,
TH66B_3,WHERE REC'D ORAL HEALTH EDUCATIONAL INFO IN PAST 12 MOS: CHILD'S SCHOOL,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH66B,
TH66B_4,WHERE REC'D ORAL HEALTH EDUCATIONAL INFO IN PAST 12 MOS: SOCIAL MEDIA,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH66B,
TH66B_5,WHERE REC'D ORAL HEALTH EDUCATIONAL INFO IN PAST 12 MOS: FAMILY/FRIENDS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH66B,
TH66B_6,WHERE REC'D ORAL HEALTH EDUCATIONAL INFO IN PAST 12 MOS: SMILE CALIFORNIA WEBSITE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH66B,
TH66B_7,WHERE REC'D ORAL HEALTH EDUCATIONAL INFO IN PAST 12 MOS: OTHER SOURCE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH66B,
TH66B_8,WHERE REC'D ORAL HEALTH EDUCATIONAL INFO IN PAST 12 MOS: OTHER ONLINE SOURCE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QX VARNAME: MTH66B,
TH67,MAIN REASON TEEN DID NOT VISIT DENTIST IN PAST 12 MONTHS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"QX VARNAME: MTH67. ADDITION OF DISPLAYED RESPONSE CATEGORY FOR ""NOT APPLICABLE"" IN 2023, WHICH DIFFERS FROM -1 VALUE USED ACROSS ALL VARIABLES FOR EXCLUSION FROM UNIVERSE.",
TF28,MISSED SCHOOL BECAUSE OF DENTAL PROBLEM IN PAST 12 MOS,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,RECLAIMED FROM CHIS 2007,
TF29V2,# OF SCHOOL DAYS MISSED FOR DENTAL PROBLEMS,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Reclaimed in CHIS 2021. Previous version: TF29. New version due to new universe. EXCLUDED VALUE ""997"" FOR LESS THAN ONE DAY IN CALCULATING THE MEAN (60 CASES IN 2023).; Reclaimed in CHIS 2021. Previous version: TF29. New version due to new universe. EXCLUDED VALUE ""997"" FOR LESS THAN ONE DAY IN CALCULATING THE MEAN (56 CASES IN 2022).; Reclaimed in CHIS 2021. Previous version: TF29. New version due to new universe. EXCLUDED VALUE ""997"" FOR LESS THAN ONE DAY IN CALCULATING THE MEAN (38 CASES IN 2021).",
MA10,HAS ANY DENTAL INSURANCE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,RECLAIMED IN 2023 (FROM 2014). MIGRATED FROM ADULT QUESTIONNAIRE.,
TM3,TEETH CONDITION,,,N/A,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,
TM1,MAIN REASON HAS NOT VISITED DENTIST,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,,
TF8F,TALK WITH DOCTOR ABOUT EMOTIONS/MOODS AT LAST PHYSICAL EXAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
TF8J,TALK WITH DOCTOR ABOUT DENTAL CHECK AT LAST PHYSICAL EXAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,
TF8,TALKED WITH DOCTOR ABOUT SMOKING AT LAST PHYSICAL EXAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TF8A,TALKED WITH DOCTOR ABOUT ALCOHOL USE AT LAST PHYSICAL EXAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TF8B,TALKED WITH DOCTOR ABOUT DRUG USE AT LAST PHYSICAL EXAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TF8E,TALKED WITH DOCTOR ABOUT STD'S AT LAST PHYSICAL EXAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TI12,PARENT THINK TEEN NEEDED HELP FOR EMOTIONAL PROB IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TF23,HOW SURE CAN MAKE HEALTH CARE APPOINTMENT W/O FAMILY KNOWING,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
SRO2,SELF-REPORTED 2ND OTHER RACE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TI8,PLANS AFTER HIGH SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
LATINTP,LATIN/HISPANIC SUBTYPES (3 LVLS),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
LATIN6TP,LATIN/HISPANIC SUBTYPES (6 LVLS),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SA_FLG,FLAG INDICATING SPECIFIC SOUTH ASIAN GROUP,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
ASIAN4TP,ASIAN SUBTYPES (4 LVLS),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
KR_ONLY,KOREAN RACE TYPE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
KRBSTRCE,BEST RACE IS KOREAN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
VT_ONLY,VIETNAMESE RACE TYPE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
VTBSTRCE,BEST RACE IS VIETNAMESE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
ORIGCHLD,COUNTRY OF ORIGIN: CHILD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TI7A,LEVEL OF ENGLISH PROFICIENCY: GENERAL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"""NOT AT ALL"" CATEGORY INCLUDED FOR INTERVIEWS NOT CONDUCTED IN ENG",
TI7B,LEVEL OF ENGLISH PROFICIENCY: ON PHONE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"""NOT AT ALL"" CATEGORY INCLUDED FOR INTERVIEWS NOT CONDUCTED IN ENG",
IAX2,RESPONDENT’S RELATIONSHIP TO ADOLESCENT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SECTION J,DEMOGRAPHIC INFORMATION PART II & GEOGRAPHIC INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESTZIP,ZIPCODE,,,,,,X,,,,,,,,,,,,,,,,,,,,,"POSTAL ZIP, NOT THE ZCTA. USED FOR LINKING CENSUS OR ADMIN DATA.; POSTAL ZIP, NOT THE ZCTA. USED FOR LINKING
CENSUS OR ADMIN DATA.; POSTAL ZIP, NOT THE ZCTA. USED FOR LINKING

CENSUS OR ADMIN DATA.; BESTZIP REPRESENTS THE RESPONDENT'S POSTAL ZIP, NOT THE ZCTA",
CATRIBE,CALIFORNIA TRIBE,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
CHINESE,CHINESE,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
CITIZEN1,CITIZENSHIP AND IMMIGRATION STATUS (4 LVLS),,,,,,X,,,,,,,,,,,,,,,,,,,,,"RESPONDENTS BORN IN AMERICAN SAMOA ARE INCLUDED IN THE ""US-BORN CITIZEN"" CATEGORY. THESE RESPONDENTS MAY BE US NATIONALS BY BIRTH OR NATURALIZED US CITIZENS.;",
